Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;83;72;94;100,0;31;31;0;83;0,0;2;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;83;72;94;100,0;31;31;0;83;0,0;Totalt i retning Muse`gata;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;55;47;63;100,0;31;31;0;55;0,0;Totalt i retning Nyløkken/Telegrafbukta;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;138;119;157;100,0;31;31;0;138;0,0;Totalt;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;54;47;61;100,0;30;30;0;54;0,0;1;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;71;61;81;100,0;30;30;0;71;0,0;2;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;71;61;81;100,0;30;30;0;71;0,0;Totalt i retning Muse`gata;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;54;47;61;100,0;30;30;0;54;0,0;Totalt i retning Nyløkken/Telegrafbukta;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;125;109;141;100,0;30;30;0;125;0,0;Totalt;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;35;29;41;100,0;31;31;0;35;0,0;1;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;42;33;51;100,0;31;31;0;42;0,0;2;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;42;33;51;100,0;31;31;0;42;0,0;Totalt i retning Muse`gata;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;35;29;41;100,0;31;31;0;35;0,0;Totalt i retning Nyløkken/Telegrafbukta;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;78;63;93;100,0;31;31;0;78;0,0;Totalt;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;31;26;36;100,0;30;30;0;31;0,0;1;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;39;33;45;100,0;30;30;0;39;0,0;2;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;39;33;45;100,0;30;30;0;39;0,0;Totalt i retning Muse`gata;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;31;26;36;100,0;30;30;0;31;0,0;Totalt i retning Nyløkken/Telegrafbukta;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;69;58;80;100,0;30;30;0;69;0,0;Totalt;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;19;13;25;100,0;31;31;0;19;0,0;1;-;-;-;-;-;-;-;-
